Loading VAE at epoch 1 with test loss 38.95674472473144
Loading MDRNN at epoch 28 with test loss 0.9927084982887773
Loading Controller with reward 674.865860291822
Track generation: 1227..1538 -> 311-tiles track
Track generation: 1155..1458 -> 303-tiles track
Track generation: 1308..1639 -> 331-tiles track
Track generation: 1066..1346 -> 280-tiles track
Track generation: 1204..1509 -> 305-tiles track
Track generation: 943..1183 -> 240-tiles track
Track generation: 1136..1424 -> 288-tiles track
Track generation: 1034..1304 -> 270-tiles track
Track generation: 1128..1414 -> 286-tiles track
Track generation: 1099..1378 -> 279-tiles track
Track generation: 1188..1489 -> 301-tiles track
Track generation: 1081..1355 -> 274-tiles track
Track generation: 1130..1416 -> 286-tiles track
Track generation: 1144..1434 -> 290-tiles track
Track generation: 1089..1369 -> 280-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1065..1335 -> 270-tiles track
Track generation: 967..1220 -> 253-tiles track
Track generation: 1128..1414 -> 286-tiles track
Track generation: 1075..1348 -> 273-tiles track
Track generation: 970..1221 -> 251-tiles track
Track generation: 1098..1376 -> 278-tiles track
Track generation: 1123..1408 -> 285-tiles track
Track generation: 1188..1489 -> 301-tiles track
Track generation: 1050..1319 -> 269-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1315..1648 -> 333-tiles track
Track generation: 1224..1534 -> 310-tiles track
Track generation: 1151..1443 -> 292-tiles track
Track generation: 1291..1618 -> 327-tiles track
Track generation: 1115..1398 -> 283-tiles track
Track generation: 1164..1459 -> 295-tiles track
Track generation: 1239..1553 -> 314-tiles track
Track generation: 1131..1418 -> 287-tiles track
Track generation: 1094..1372 -> 278-tiles track
Track generation: 1202..1507 -> 305-tiles track
Track generation: 1135..1423 -> 288-tiles track
Track generation: 1132..1419 -> 287-tiles track
Track generation: 1196..1499 -> 303-tiles track
Track generation: 1107..1394 -> 287-tiles track
Track generation: 1217..1525 -> 308-tiles track
Track generation: 1263..1583 -> 320-tiles track
Track generation: 1160..1454 -> 294-tiles track
Track generation: 1041..1313 -> 272-tiles track
Track generation: 1159..1453 -> 294-tiles track
Track generation: 1230..1540 -> 310-tiles track
Track generation: 1100..1384 -> 284-tiles track
Track generation: 1053..1329 -> 276-tiles track
Track generation: 985..1242 -> 257-tiles track
Track generation: 1356..1699 -> 343-tiles track
Track generation: 1241..1555 -> 314-tiles track
Track generation: 1328..1664 -> 336-tiles track
Track generation: 1047..1317 -> 270-tiles track
Track generation: 1019..1279 -> 260-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1320..1654 -> 334-tiles track
Track generation: 1040..1308 -> 268-tiles track
Track generation: 1035..1303 -> 268-tiles track
Track generation: 1210..1517 -> 307-tiles track
Track generation: 1219..1528 -> 309-tiles track
Track generation: 1181..1491 -> 310-tiles track
Track generation: 1111..1393 -> 282-tiles track
Track generation: 996..1257 -> 261-tiles track
Track generation: 1284..1609 -> 325-tiles track
Track generation: 1263..1583 -> 320-tiles track
Track generation: 1219..1528 -> 309-tiles track
Track generation: 1244..1559 -> 315-tiles track
Track generation: 1215..1523 -> 308-tiles track
Track generation: 1167..1463 -> 296-tiles track
Track generation: 1316..1649 -> 333-tiles track
Track generation: 1179..1478 -> 299-tiles track
Track generation: 1069..1340 -> 271-tiles track
Track generation: 1179..1478 -> 299-tiles track
Track generation: 1255..1573 -> 318-tiles track
Track generation: 1094..1377 -> 283-tiles track
Track generation: 1243..1568 -> 325-tiles track
Track generation: 1163..1458 -> 295-tiles track
Track generation: 1152..1444 -> 292-tiles track
Track generation: 1085..1366 -> 281-tiles track
Track generation: 1086..1362 -> 276-tiles track
Track generation: 1164..1459 -> 295-tiles track
Track generation: 1207..1513 -> 306-tiles track
Track generation: 1131..1418 -> 287-tiles track
Track generation: 1206..1512 -> 306-tiles track
Track generation: 1095..1373 -> 278-tiles track
Track generation: 1072..1344 -> 272-tiles track
Track generation: 975..1227 -> 252-tiles track
Track generation: 1144..1434 -> 290-tiles track
Track generation: 1111..1398 -> 287-tiles track
Track generation: 1171..1468 -> 297-tiles track
