Loading VAE at epoch 1 with test loss 38.95674472473144
Loading MDRNN at epoch 28 with test loss 0.9927084982887773
Loading Controller with reward 674.865860291822
Track generation: 1131..1418 -> 287-tiles track
Track generation: 1127..1414 -> 287-tiles track
Track generation: 1126..1420 -> 294-tiles track
Track generation: 1110..1395 -> 285-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1153..1446 -> 293-tiles track
Track generation: 1099..1378 -> 279-tiles track
Track generation: 1075..1353 -> 278-tiles track
Track generation: 957..1202 -> 245-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1187..1488 -> 301-tiles track
Track generation: 1198..1505 -> 307-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1302..1632 -> 330-tiles track
Track generation: 1214..1521 -> 307-tiles track
Track generation: 1038..1302 -> 264-tiles track
Track generation: 972..1219 -> 247-tiles track
Track generation: 1224..1534 -> 310-tiles track
Track generation: 1163..1458 -> 295-tiles track
Track generation: 1169..1465 -> 296-tiles track
Track generation: 1133..1425 -> 292-tiles track
Track generation: 1235..1548 -> 313-tiles track
Track generation: 1140..1429 -> 289-tiles track
Track generation: 1080..1354 -> 274-tiles track
Track generation: 1271..1593 -> 322-tiles track
Track generation: 1057..1335 -> 278-tiles track
Track generation: 1307..1647 -> 340-tiles track
Track generation: 1128..1414 -> 286-tiles track
Track generation: 1310..1641 -> 331-tiles track
Track generation: 1199..1503 -> 304-tiles track
Track generation: 1124..1409 -> 285-tiles track
Track generation: 1132..1419 -> 287-tiles track
Track generation: 1191..1493 -> 302-tiles track
Track generation: 1314..1647 -> 333-tiles track
Track generation: 1183..1483 -> 300-tiles track
Track generation: 1135..1423 -> 288-tiles track
Track generation: 1069..1340 -> 271-tiles track
Track generation: 1108..1398 -> 290-tiles track
Track generation: 1236..1549 -> 313-tiles track
Track generation: 1255..1573 -> 318-tiles track
Track generation: 1034..1297 -> 263-tiles track
Track generation: 1112..1398 -> 286-tiles track
Track generation: 1079..1353 -> 274-tiles track
Track generation: 1291..1618 -> 327-tiles track
Track generation: 1200..1504 -> 304-tiles track
Track generation: 1103..1383 -> 280-tiles track
Track generation: 1168..1464 -> 296-tiles track
Track generation: 1084..1359 -> 275-tiles track
Track generation: 1205..1510 -> 305-tiles track
Track generation: 1125..1410 -> 285-tiles track
Track generation: 1113..1395 -> 282-tiles track
Track generation: 1093..1370 -> 277-tiles track
Track generation: 1191..1493 -> 302-tiles track
Track generation: 971..1224 -> 253-tiles track
Track generation: 1116..1408 -> 292-tiles track
Track generation: 1086..1368 -> 282-tiles track
Track generation: 1225..1535 -> 310-tiles track
Track generation: 1076..1349 -> 273-tiles track
Track generation: 1068..1339 -> 271-tiles track
Track generation: 1220..1529 -> 309-tiles track
Track generation: 1060..1329 -> 269-tiles track
Track generation: 1352..1694 -> 342-tiles track
Track generation: 1084..1358 -> 274-tiles track
Track generation: 1235..1552 -> 317-tiles track
Track generation: 1131..1425 -> 294-tiles track
Track generation: 1183..1483 -> 300-tiles track
Track generation: 1104..1383 -> 279-tiles track
Track generation: 1115..1402 -> 287-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1068..1344 -> 276-tiles track
Track generation: 1196..1499 -> 303-tiles track
Track generation: 1203..1508 -> 305-tiles track
Track generation: 1163..1458 -> 295-tiles track
Track generation: 1100..1379 -> 279-tiles track
Track generation: 1197..1507 -> 310-tiles track
Track generation: 1189..1492 -> 303-tiles track
Track generation: 1118..1401 -> 283-tiles track
Track generation: 1220..1529 -> 309-tiles track
Track generation: 1328..1664 -> 336-tiles track
Track generation: 1374..1722 -> 348-tiles track
Track generation: 1060..1337 -> 277-tiles track
Track generation: 1363..1717 -> 354-tiles track
Track generation: 1409..1765 -> 356-tiles track
Track generation: 1143..1434 -> 291-tiles track
Track generation: 1123..1415 -> 292-tiles track
Track generation: 1241..1555 -> 314-tiles track
Track generation: 1124..1409 -> 285-tiles track
Track generation: 1023..1283 -> 260-tiles track
Track generation: 1031..1299 -> 268-tiles track
Track generation: 1235..1548 -> 313-tiles track
Track generation: 1278..1602 -> 324-tiles track
Track generation: 1139..1435 -> 296-tiles track
