Loading VAE at epoch 1 with test loss 38.95674472473144
Loading MDRNN at epoch 28 with test loss 0.9927084982887773
Loading Controller with reward 674.865860291822
Track generation: 1084..1359 -> 275-tiles track
Track generation: 1268..1589 -> 321-tiles track
Track generation: 1154..1447 -> 293-tiles track
Track generation: 1159..1453 -> 294-tiles track
Track generation: 1067..1338 -> 271-tiles track
Track generation: 1107..1388 -> 281-tiles track
Track generation: 1094..1374 -> 280-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1054..1321 -> 267-tiles track
Track generation: 1083..1358 -> 275-tiles track
Track generation: 1208..1514 -> 306-tiles track
Track generation: 1251..1568 -> 317-tiles track
Track generation: 1105..1385 -> 280-tiles track
Track generation: 1103..1383 -> 280-tiles track
Track generation: 1020..1279 -> 259-tiles track
Track generation: 1106..1387 -> 281-tiles track
Track generation: 1148..1439 -> 291-tiles track
Track generation: 1043..1308 -> 265-tiles track
Track generation: 990..1250 -> 260-tiles track
Track generation: 1060..1334 -> 274-tiles track
Track generation: 1037..1308 -> 271-tiles track
Track generation: 1057..1333 -> 276-tiles track
Track generation: 1416..1774 -> 358-tiles track
Track generation: 1219..1528 -> 309-tiles track
Track generation: 1071..1351 -> 280-tiles track
Track generation: 1102..1382 -> 280-tiles track
Track generation: 1296..1624 -> 328-tiles track
Track generation: 1145..1443 -> 298-tiles track
Track generation: 1176..1474 -> 298-tiles track
Track generation: 1071..1350 -> 279-tiles track
Track generation: 1024..1284 -> 260-tiles track
Track generation: 946..1192 -> 246-tiles track
Track generation: 1086..1369 -> 283-tiles track
Track generation: 1137..1435 -> 298-tiles track
Track generation: 1116..1399 -> 283-tiles track
Track generation: 1164..1459 -> 295-tiles track
Track generation: 1167..1463 -> 296-tiles track
Track generation: 1141..1438 -> 297-tiles track
Track generation: 1120..1404 -> 284-tiles track
Track generation: 1160..1454 -> 294-tiles track
Track generation: 1153..1446 -> 293-tiles track
Track generation: 1099..1378 -> 279-tiles track
Track generation: 1105..1388 -> 283-tiles track
Track generation: 1159..1453 -> 294-tiles track
Track generation: 1242..1557 -> 315-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1275..1598 -> 323-tiles track
Track generation: 1085..1360 -> 275-tiles track
Track generation: 1240..1554 -> 314-tiles track
Track generation: 1042..1308 -> 266-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1243..1558 -> 315-tiles track
Track generation: 1101..1380 -> 279-tiles track
Track generation: 995..1252 -> 257-tiles track
Track generation: 1015..1273 -> 258-tiles track
Track generation: 1127..1413 -> 286-tiles track
Track generation: 1147..1438 -> 291-tiles track
Track generation: 1164..1459 -> 295-tiles track
Track generation: 1204..1509 -> 305-tiles track
Track generation: 1158..1452 -> 294-tiles track
Track generation: 1063..1333 -> 270-tiles track
Track generation: 1184..1494 -> 310-tiles track
Track generation: 1049..1315 -> 266-tiles track
Track generation: 994..1255 -> 261-tiles track
Track generation: 1084..1359 -> 275-tiles track
Track generation: 1164..1466 -> 302-tiles track
Track generation: 1180..1487 -> 307-tiles track
Track generation: 1158..1452 -> 294-tiles track
Track generation: 1073..1345 -> 272-tiles track
Track generation: 1112..1399 -> 287-tiles track
Track generation: 1000..1254 -> 254-tiles track
Track generation: 1045..1320 -> 275-tiles track
Track generation: 1181..1480 -> 299-tiles track
Track generation: 1102..1381 -> 279-tiles track
Track generation: 1244..1559 -> 315-tiles track
Track generation: 1163..1458 -> 295-tiles track
Track generation: 1259..1578 -> 319-tiles track
Track generation: 1078..1355 -> 277-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1094..1377 -> 283-tiles track
Track generation: 1217..1525 -> 308-tiles track
Track generation: 1144..1434 -> 290-tiles track
Track generation: 953..1202 -> 249-tiles track
Track generation: 1077..1350 -> 273-tiles track
Track generation: 900..1133 -> 233-tiles track
Track generation: 1007..1263 -> 256-tiles track
Track generation: 1139..1428 -> 289-tiles track
Track generation: 1055..1323 -> 268-tiles track
Track generation: 1156..1449 -> 293-tiles track
Track generation: 1296..1624 -> 328-tiles track
Track generation: 994..1252 -> 258-tiles track
Track generation: 1166..1462 -> 296-tiles track
Track generation: 1080..1354 -> 274-tiles track
