Loading VAE at epoch 1 with test loss 38.95674472473144
Loading MDRNN at epoch 28 with test loss 0.9927084982887773
Loading Controller with reward 674.865860291822
Track generation: 1069..1344 -> 275-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1192..1494 -> 302-tiles track
Track generation: 1359..1711 -> 352-tiles track
Track generation: 1163..1458 -> 295-tiles track
Track generation: 1232..1553 -> 321-tiles track
Track generation: 1298..1629 -> 331-tiles track
Track generation: 1196..1499 -> 303-tiles track
Track generation: 1139..1436 -> 297-tiles track
Track generation: 1257..1575 -> 318-tiles track
Track generation: 1232..1544 -> 312-tiles track
Track generation: 1075..1348 -> 273-tiles track
Track generation: 1200..1504 -> 304-tiles track
Track generation: 1244..1559 -> 315-tiles track
Track generation: 1011..1268 -> 257-tiles track
Track generation: 1081..1363 -> 282-tiles track
Track generation: 1250..1566 -> 316-tiles track
Track generation: 1033..1306 -> 273-tiles track
Track generation: 956..1199 -> 243-tiles track
Track generation: 1157..1450 -> 293-tiles track
Track generation: 1096..1374 -> 278-tiles track
Track generation: 1120..1410 -> 290-tiles track
Track generation: 1207..1518 -> 311-tiles track
Track generation: 1116..1398 -> 282-tiles track
Track generation: 1097..1384 -> 287-tiles track
Track generation: 1048..1314 -> 266-tiles track
Track generation: 1204..1509 -> 305-tiles track
Track generation: 1295..1623 -> 328-tiles track
Track generation: 1131..1418 -> 287-tiles track
Track generation: 1097..1384 -> 287-tiles track
Track generation: 1176..1474 -> 298-tiles track
Track generation: 981..1237 -> 256-tiles track
Track generation: 1083..1358 -> 275-tiles track
Track generation: 1255..1583 -> 328-tiles track
Track generation: 1191..1493 -> 302-tiles track
Track generation: 1078..1351 -> 273-tiles track
Track generation: 1214..1521 -> 307-tiles track
Track generation: 1184..1484 -> 300-tiles track
Track generation: 1123..1408 -> 285-tiles track
Track generation: 1060..1329 -> 269-tiles track
Track generation: 1026..1294 -> 268-tiles track
Track generation: 999..1260 -> 261-tiles track
Track generation: 1039..1303 -> 264-tiles track
Track generation: 1298..1627 -> 329-tiles track
Track generation: 1172..1469 -> 297-tiles track
Track generation: 1175..1473 -> 298-tiles track
Track generation: 1164..1459 -> 295-tiles track
Track generation: 1132..1423 -> 291-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1172..1474 -> 302-tiles track
Track generation: 1372..1719 -> 347-tiles track
Track generation: 1054..1321 -> 267-tiles track
Track generation: 1109..1390 -> 281-tiles track
Track generation: 1165..1469 -> 304-tiles track
Track generation: 1103..1391 -> 288-tiles track
Track generation: 1088..1364 -> 276-tiles track
Track generation: 1031..1293 -> 262-tiles track
Track generation: 986..1241 -> 255-tiles track
Track generation: 1191..1493 -> 302-tiles track
Track generation: 1155..1448 -> 293-tiles track
Track generation: 1104..1384 -> 280-tiles track
Track generation: 1103..1383 -> 280-tiles track
Track generation: 1008..1264 -> 256-tiles track
Track generation: 1212..1519 -> 307-tiles track
Track generation: 1039..1308 -> 269-tiles track
Track generation: 1207..1513 -> 306-tiles track
Track generation: 1391..1743 -> 352-tiles track
Track generation: 1011..1272 -> 261-tiles track
Track generation: 1050..1321 -> 271-tiles track
Track generation: 1275..1598 -> 323-tiles track
Track generation: 1118..1406 -> 288-tiles track
Track generation: 1212..1525 -> 313-tiles track
Track generation: 1212..1519 -> 307-tiles track
Track generation: 1172..1469 -> 297-tiles track
Track generation: 1240..1558 -> 318-tiles track
Track generation: 1130..1421 -> 291-tiles track
Track generation: 1186..1485 -> 299-tiles track
Track generation: 1014..1271 -> 257-tiles track
Track generation: 1247..1563 -> 316-tiles track
Track generation: 1220..1529 -> 309-tiles track
Track generation: 1180..1479 -> 299-tiles track
Track generation: 1119..1403 -> 284-tiles track
Track generation: 1028..1291 -> 263-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1165..1460 -> 295-tiles track
Track generation: 953..1201 -> 248-tiles track
Track generation: 1147..1438 -> 291-tiles track
Track generation: 1211..1518 -> 307-tiles track
Track generation: 1161..1455 -> 294-tiles track
Track generation: 1243..1556 -> 313-tiles track
