Loading VAE at epoch 1 with test loss 38.95674472473144
Loading MDRNN at epoch 28 with test loss 0.9927084982887773
Loading Controller with reward 674.865860291822
Track generation: 1133..1425 -> 292-tiles track
Track generation: 1073..1354 -> 281-tiles track
Track generation: 1133..1427 -> 294-tiles track
Track generation: 1211..1518 -> 307-tiles track
Track generation: 1062..1331 -> 269-tiles track
Track generation: 1007..1263 -> 256-tiles track
Track generation: 1116..1401 -> 285-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1032..1299 -> 267-tiles track
Track generation: 1275..1598 -> 323-tiles track
Track generation: 1188..1489 -> 301-tiles track
Track generation: 1144..1434 -> 290-tiles track
Track generation: 1041..1305 -> 264-tiles track
Track generation: 1083..1358 -> 275-tiles track
Track generation: 1185..1485 -> 300-tiles track
Track generation: 1096..1373 -> 277-tiles track
Track generation: 1107..1388 -> 281-tiles track
Track generation: 1156..1449 -> 293-tiles track
Track generation: 1144..1434 -> 290-tiles track
Track generation: 1127..1413 -> 286-tiles track
Track generation: 1088..1364 -> 276-tiles track
Track generation: 1236..1545 -> 309-tiles track
Track generation: 1136..1424 -> 288-tiles track
Track generation: 1237..1550 -> 313-tiles track
Track generation: 1059..1328 -> 269-tiles track
Track generation: 1219..1528 -> 309-tiles track
Track generation: 1018..1284 -> 266-tiles track
Track generation: 1063..1333 -> 270-tiles track
Track generation: 1065..1344 -> 279-tiles track
Track generation: 1342..1681 -> 339-tiles track
Track generation: 1216..1524 -> 308-tiles track
Track generation: 1076..1349 -> 273-tiles track
Track generation: 1079..1353 -> 274-tiles track
Track generation: 1161..1461 -> 300-tiles track
Track generation: 1120..1404 -> 284-tiles track
Track generation: 1093..1371 -> 278-tiles track
Track generation: 1004..1259 -> 255-tiles track
Track generation: 1311..1643 -> 332-tiles track
Track generation: 1186..1487 -> 301-tiles track
Track generation: 1161..1455 -> 294-tiles track
Track generation: 1006..1270 -> 264-tiles track
Track generation: 1076..1358 -> 282-tiles track
Track generation: 1120..1404 -> 284-tiles track
Track generation: 1187..1488 -> 301-tiles track
Track generation: 1170..1467 -> 297-tiles track
Track generation: 1256..1574 -> 318-tiles track
Track generation: 1212..1519 -> 307-tiles track
Track generation: 1207..1513 -> 306-tiles track
Track generation: 1088..1364 -> 276-tiles track
Track generation: 1184..1484 -> 300-tiles track
Track generation: 1257..1575 -> 318-tiles track
Track generation: 1170..1468 -> 298-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1057..1333 -> 276-tiles track
Track generation: 892..1123 -> 231-tiles track
Track generation: 1236..1549 -> 313-tiles track
Track generation: 1103..1383 -> 280-tiles track
Track generation: 1337..1675 -> 338-tiles track
Track generation: 1144..1434 -> 290-tiles track
Track generation: 1062..1339 -> 277-tiles track
Track generation: 1208..1514 -> 306-tiles track
Track generation: 1000..1254 -> 254-tiles track
Track generation: 1210..1517 -> 307-tiles track
Track generation: 986..1243 -> 257-tiles track
Track generation: 1059..1334 -> 275-tiles track
Track generation: 1082..1357 -> 275-tiles track
Track generation: 1248..1564 -> 316-tiles track
Track generation: 1160..1454 -> 294-tiles track
Track generation: 1310..1642 -> 332-tiles track
Track generation: 983..1240 -> 257-tiles track
Track generation: 1012..1269 -> 257-tiles track
Track generation: 1260..1579 -> 319-tiles track
Track generation: 1203..1508 -> 305-tiles track
Track generation: 1078..1352 -> 274-tiles track
Track generation: 1105..1392 -> 287-tiles track
Track generation: 1108..1389 -> 281-tiles track
Track generation: 936..1183 -> 247-tiles track
Track generation: 1220..1529 -> 309-tiles track
Track generation: 1248..1564 -> 316-tiles track
Track generation: 1003..1258 -> 255-tiles track
Track generation: 1147..1438 -> 291-tiles track
Track generation: 1139..1428 -> 289-tiles track
Track generation: 1303..1633 -> 330-tiles track
Track generation: 1219..1528 -> 309-tiles track
Track generation: 930..1174 -> 244-tiles track
Track generation: 991..1243 -> 252-tiles track
Track generation: 1041..1309 -> 268-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1054..1322 -> 268-tiles track
Track generation: 1252..1569 -> 317-tiles track
