Loading VAE at epoch 1 with test loss 38.95674472473144
Loading MDRNN at epoch 28 with test loss 0.9927084982887773
Loading Controller with reward 674.865860291822
Track generation: 1121..1412 -> 291-tiles track
Track generation: 1144..1434 -> 290-tiles track
Track generation: 1069..1348 -> 279-tiles track
Track generation: 1303..1633 -> 330-tiles track
Track generation: 1079..1353 -> 274-tiles track
Track generation: 1205..1510 -> 305-tiles track
Track generation: 1105..1385 -> 280-tiles track
Track generation: 1178..1477 -> 299-tiles track
Track generation: 1152..1444 -> 292-tiles track
Track generation: 1172..1469 -> 297-tiles track
Track generation: 1119..1401 -> 282-tiles track
Track generation: 1283..1608 -> 325-tiles track
Track generation: 1121..1405 -> 284-tiles track
Track generation: 962..1212 -> 250-tiles track
Track generation: 1168..1464 -> 296-tiles track
Track generation: 1022..1286 -> 264-tiles track
Track generation: 1000..1254 -> 254-tiles track
Track generation: 1188..1489 -> 301-tiles track
Track generation: 1136..1424 -> 288-tiles track
Track generation: 1304..1634 -> 330-tiles track
Track generation: 1141..1430 -> 289-tiles track
Track generation: 1296..1623 -> 327-tiles track
Track generation: 1159..1453 -> 294-tiles track
Track generation: 1165..1460 -> 295-tiles track
Track generation: 1068..1339 -> 271-tiles track
Track generation: 1035..1305 -> 270-tiles track
Track generation: 1071..1343 -> 272-tiles track
Track generation: 1115..1398 -> 283-tiles track
Track generation: 1299..1628 -> 329-tiles track
Track generation: 1207..1519 -> 312-tiles track
Track generation: 1170..1473 -> 303-tiles track
Track generation: 1096..1374 -> 278-tiles track
Track generation: 1083..1358 -> 275-tiles track
Track generation: 1212..1519 -> 307-tiles track
Track generation: 1211..1518 -> 307-tiles track
Track generation: 1037..1307 -> 270-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1214..1528 -> 314-tiles track
Track generation: 1375..1723 -> 348-tiles track
Track generation: 1143..1433 -> 290-tiles track
Track generation: 1119..1403 -> 284-tiles track
Track generation: 1314..1673 -> 359-tiles track
Track generation: 1128..1414 -> 286-tiles track
Track generation: 937..1176 -> 239-tiles track
Track generation: 1020..1279 -> 259-tiles track
Track generation: 1076..1356 -> 280-tiles track
Track generation: 1032..1294 -> 262-tiles track
Track generation: 1251..1568 -> 317-tiles track
Track generation: 1077..1350 -> 273-tiles track
Track generation: 1094..1375 -> 281-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1067..1338 -> 271-tiles track
Track generation: 1133..1420 -> 287-tiles track
Track generation: 1163..1458 -> 295-tiles track
Track generation: 1163..1458 -> 295-tiles track
Track generation: 1055..1323 -> 268-tiles track
Track generation: 1121..1407 -> 286-tiles track
Track generation: 1143..1439 -> 296-tiles track
Track generation: 1268..1589 -> 321-tiles track
Track generation: 1094..1377 -> 283-tiles track
Track generation: 1254..1572 -> 318-tiles track
Track generation: 1208..1514 -> 306-tiles track
Track generation: 1139..1428 -> 289-tiles track
Track generation: 1113..1395 -> 282-tiles track
Track generation: 1255..1573 -> 318-tiles track
Track generation: 853..1076 -> 223-tiles track
Track generation: 1099..1378 -> 279-tiles track
Track generation: 956..1199 -> 243-tiles track
Track generation: 1234..1554 -> 320-tiles track
Track generation: 1034..1296 -> 262-tiles track
Track generation: 1174..1472 -> 298-tiles track
Track generation: 1200..1503 -> 303-tiles track
Track generation: 1089..1365 -> 276-tiles track
Track generation: 1087..1363 -> 276-tiles track
Track generation: 1184..1484 -> 300-tiles track
Track generation: 1144..1434 -> 290-tiles track
Track generation: 1067..1338 -> 271-tiles track
Track generation: 1148..1439 -> 291-tiles track
Track generation: 1323..1657 -> 334-tiles track
Track generation: 1063..1341 -> 278-tiles track
Track generation: 1067..1344 -> 277-tiles track
Track generation: 1136..1424 -> 288-tiles track
Track generation: 1124..1409 -> 285-tiles track
Track generation: 987..1244 -> 257-tiles track
Track generation: 1180..1479 -> 299-tiles track
Track generation: 1203..1508 -> 305-tiles track
Track generation: 977..1230 -> 253-tiles track
Track generation: 1052..1319 -> 267-tiles track
