Loading VAE at epoch 1 with test loss 38.95674472473144
Loading MDRNN at epoch 28 with test loss 0.9927084982887773
Loading Controller with reward 674.865860291822
Track generation: 1282..1607 -> 325-tiles track
Track generation: 1210..1516 -> 306-tiles track
Track generation: 1108..1389 -> 281-tiles track
Track generation: 1048..1314 -> 266-tiles track
Track generation: 1148..1439 -> 291-tiles track
Track generation: 1176..1474 -> 298-tiles track
Track generation: 1240..1554 -> 314-tiles track
Track generation: 1155..1448 -> 293-tiles track
Track generation: 1136..1424 -> 288-tiles track
Track generation: 1080..1359 -> 279-tiles track
Track generation: 1192..1495 -> 303-tiles track
Track generation: 1087..1363 -> 276-tiles track
Track generation: 1011..1268 -> 257-tiles track
Track generation: 1123..1408 -> 285-tiles track
Track generation: 1203..1508 -> 305-tiles track
Track generation: 1279..1603 -> 324-tiles track
Track generation: 1047..1313 -> 266-tiles track
Track generation: 1004..1259 -> 255-tiles track
Track generation: 1352..1694 -> 342-tiles track
Track generation: 1081..1364 -> 283-tiles track
Track generation: 1075..1348 -> 273-tiles track
Track generation: 1005..1265 -> 260-tiles track
Track generation: 1147..1438 -> 291-tiles track
Track generation: 1096..1374 -> 278-tiles track
Track generation: 1100..1379 -> 279-tiles track
Track generation: 1199..1503 -> 304-tiles track
Track generation: 1071..1352 -> 281-tiles track
Track generation: 1079..1353 -> 274-tiles track
Track generation: 1036..1307 -> 271-tiles track
Track generation: 1135..1423 -> 288-tiles track
Track generation: 1127..1413 -> 286-tiles track
Track generation: 1156..1455 -> 299-tiles track
Track generation: 1191..1493 -> 302-tiles track
Track generation: 1163..1458 -> 295-tiles track
Track generation: 1231..1552 -> 321-tiles track
Track generation: 1119..1403 -> 284-tiles track
Track generation: 1164..1459 -> 295-tiles track
Track generation: 1061..1330 -> 269-tiles track
Track generation: 1175..1473 -> 298-tiles track
Track generation: 1083..1358 -> 275-tiles track
Track generation: 1106..1391 -> 285-tiles track
Track generation: 1038..1302 -> 264-tiles track
Track generation: 1077..1353 -> 276-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 984..1240 -> 256-tiles track
Track generation: 958..1207 -> 249-tiles track
Track generation: 1163..1459 -> 296-tiles track
Track generation: 1069..1340 -> 271-tiles track
Track generation: 1075..1357 -> 282-tiles track
Track generation: 1227..1538 -> 311-tiles track
Track generation: 1208..1514 -> 306-tiles track
Track generation: 1131..1418 -> 287-tiles track
Track generation: 1153..1445 -> 292-tiles track
Track generation: 1184..1484 -> 300-tiles track
Track generation: 1033..1302 -> 269-tiles track
Track generation: 1086..1372 -> 286-tiles track
Track generation: 1123..1408 -> 285-tiles track
Track generation: 1048..1320 -> 272-tiles track
Track generation: 1373..1726 -> 353-tiles track
Track generation: 1129..1420 -> 291-tiles track
Track generation: 1119..1401 -> 282-tiles track
Track generation: 1135..1423 -> 288-tiles track
Track generation: 1256..1574 -> 318-tiles track
Track generation: 1170..1472 -> 302-tiles track
Track generation: 1140..1429 -> 289-tiles track
Track generation: 1130..1422 -> 292-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1139..1428 -> 289-tiles track
Track generation: 1130..1425 -> 295-tiles track
Track generation: 1124..1409 -> 285-tiles track
Track generation: 1080..1354 -> 274-tiles track
Track generation: 1264..1584 -> 320-tiles track
Track generation: 1103..1383 -> 280-tiles track
Track generation: 1168..1464 -> 296-tiles track
Track generation: 1347..1688 -> 341-tiles track
Track generation: 1047..1313 -> 266-tiles track
Track generation: 1015..1273 -> 258-tiles track
Track generation: 1208..1514 -> 306-tiles track
Track generation: 1124..1411 -> 287-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1252..1577 -> 325-tiles track
Track generation: 1084..1365 -> 281-tiles track
Track generation: 1347..1688 -> 341-tiles track
Track generation: 1224..1534 -> 310-tiles track
Track generation: 1122..1407 -> 285-tiles track
Track generation: 1084..1359 -> 275-tiles track
Track generation: 1132..1419 -> 287-tiles track
Track generation: 1126..1409 -> 283-tiles track
Track generation: 1120..1404 -> 284-tiles track
